order_id,customer_id,order_date,suburb,state,postcode,product_category,quantity,unit_price_aud,discount_pct,shipping_fee_aud,sales_channel,payment_method,net_revenue_aud
ORD00755,CUST0035,2024-01-09,Parramatta,NSW,2150,Groceries,1,35.87,15,7.99,In-Store,Visa,38.48
ORD01207,CUST0057,2024-01-09,Townsville,QLD,4810,Pet Care,1,139.28,0,0.0,Mobile App,Apple Pay,139.28
ORD00246,CUST0142,2024-01-09,Sydney,NSW,2000,Electronics,1,481.3,0,9.99,Online,Afterpay,491.29
ORD00775,CUST0105,2024-01-09,Sydney,NSW,2000,Fashion,1,124.27,0,4.99,Online,Visa,129.26
ORD01077,CUST0082,2024-01-10,Parramatta,NSW,2150,Fashion,2,120.17,10,0.0,Mobile App,Mastercard,216.31
ORD00577,CUST0116,2024-01-10,Brisbane,QLD,4000,Household,1,21.98,5,0.0,Online,Apple Pay,20.88
ORD00423,CUST0188,2024-01-10,Geelong,VIC,3220,Household,1,48.3,0,7.99,Mobile App,Afterpay,56.29
ORD00934,CUST0127,2024-01-10,Townsville,QLD,4810,Household,1,55.14,0,0.0,Online,Visa,55.14
ORD01181,CUST0212,2024-01-11,Parramatta,NSW,2150,Household,3,84.51,0,0.0,Online,Mastercard,253.53
ORD00883,CUST0095,2024-01-11,Dandenong,VIC,3175,Groceries,3,40.68,15,7.99,In-Store,Apple Pay,111.72
ORD01313,CUST0044,2024-01-11,Newcastle,NSW,2300,Beauty,2,39.12,5,0.0,Online,Afterpay,74.33
ORD00590,CUST0202,2024-01-11,Parramatta,NSW,2150,Baby,2,146.58,0,7.99,Mobile App,Mastercard,301.15
ORD00929,CUST0127,2024-01-11,Townsville,QLD,4810,Baby,1,20.02,5,12.99,Online,PayPal,32.01
ORD01140,CUST0003,2024-01-12,Sydney,NSW,2000,Groceries,3,8.07,0,7.99,Mobile App,Apple Pay,32.2
ORD00513,CUST0124,2024-01-12,Cairns,QLD,4870,Baby,5,31.05,5,12.99,Online,Visa,160.48
ORD00952,CUST0024,2024-01-12,Parramatta,NSW,2150,Beauty,1,44.68,0,7.99,Online,PayPal,52.67
ORD01386,CUST0209,2024-01-13,Parramatta,NSW,2150,Beauty,1,65.81,10,0.0,Mobile App,Afterpay,59.23
ORD01368,CUST0031,2024-01-13,Brisbane,QLD,4000,Beauty,1,24.6,0,0.0,In-Store,Mastercard,24.6
ORD00411,CUST0154,2024-01-14,Dandenong,VIC,3175,Electronics,1,548.55,0,0.0,Mobile App,Apple Pay,548.55
ORD00380,CUST0211,2024-01-14,Perth,WA,6000,Baby,3,42.29,5,0.0,Online,Afterpay,120.53
ORD00016,CUST0200,2024-01-14,Townsville,QLD,4810,Sports,1,284.2,20,0.0,In-Store,Mastercard,227.36
ORD01048,CUST0027,2024-01-14,Dandenong,VIC,3175,Baby,3,170.12,0,12.99,Online,Visa,523.35
ORD00049,CUST0034,2024-01-15,Wollongong,NSW,2500,Fashion,3,79.07,0,4.99,In-Store,Afterpay,242.2
ORD01243,CUST0070,2024-01-15,Fremantle,WA,6160,Groceries,1,61.24,0,9.99,Online,Visa,71.23
ORD01330,CUST0029,2024-01-15,Newcastle,NSW,2300,Household,1,38.88,15,0.0,Online,Mastercard,33.05
ORD01373,CUST0179,2024-01-15,Fremantle,WA,6160,Pet Care,2,78.03,5,7.99,Online,Visa,156.25
ORD00862,CUST0154,2024-01-15,Dandenong,VIC,3175,Groceries,1,40.15,0,0.0,Online,PayPal,40.15
ORD00257,CUST0088,2024-01-16,Perth,WA,6000,Beauty,1,76.67,5,9.99,Mobile App,PayPal,82.83
ORD01021,CUST0162,2024-01-16,Brisbane,QLD,4000,Beauty,1,79.84,10,0.0,Online,Visa,71.86
ORD00639,CUST0031,2024-01-16,Brisbane,QLD,4000,Groceries,1,33.38,15,0.0,Mobile App,Apple Pay,28.37
ORD00191,CUST0162,2024-01-17,Brisbane,QLD,4000,Pet Care,3,12.4,10,7.99,Mobile App,Afterpay,41.47
ORD00083,CUST0107,2024-01-17,Wollongong,NSW,2500,Baby,1,69.47,15,9.99,Mobile App,Visa,69.04
ORD00737,CUST0165,2024-01-18,Adelaide,SA,5000,Groceries,5,21.05,0,0.0,Online,Mastercard,105.25
ORD00150,CUST0080,2024-01-19,Canberra,ACT,2600,Beauty,1,52.59,20,9.99,Mobile App,Visa,52.06
ORD01273,CUST0116,2024-01-19,Brisbane,QLD,4000,Fashion,2,201.18,15,4.99,Online,Apple Pay,347.0
ORD00926,CUST0111,2024-01-19,Wollongong,NSW,2500,Fashion,2,76.03,15,9.99,Online,Mastercard,139.24
ORD00843,CUST0031,2024-01-19,Brisbane,QLD,4000,Household,5,56.84,0,12.99,Online,Mastercard,297.19
ORD00994,CUST0078,2024-01-19,Adelaide,SA,5000,Sports,1,204.73,0,9.99,Online,Apple Pay,214.72
ORD00738,CUST0065,2024-01-20,Geelong,VIC,3220,Pet Care,1,95.8,0,4.99,Mobile App,Visa,100.79
ORD00393,CUST0106,2024-01-20,Adelaide,SA,5000,Household,1,71.18,10,12.99,Online,Mastercard,77.05
ORD00139,CUST0026,2024-01-20,Perth,WA,6000,Sports,3,285.98,5,7.99,Online,PayPal,823.03
ORD00123,CUST0215,2024-01-21,Cairns,QLD,4870,Household,4,43.97,10,7.99,Online,Mastercard,166.28
ORD00631,CUST0048,2024-01-21,Melbourne,VIC,3000,Groceries,5,27.5,20,4.99,Online,Mastercard,114.99
ORD00043,CUST0006,2024-01-21,Parramatta,NSW,2150,Fashion,3,138.91,10,0.0,Mobile App,Visa,375.06
ORD01374,CUST0100,2024-01-22,Parramatta,NSW,2150,Groceries,1,28.39,0,12.99,In-Store,Mastercard,41.38
ORD01033,CUST0022,2024-01-22,Fremantle,WA,6160,Household,1,27.91,5,0.0,Online,Afterpay,26.51
ORD00108,CUST0073,2024-01-24,Wollongong,NSW,2500,Baby,1,25.56,5,9.99,Online,Apple Pay,34.27
ORD01026,CUST0097,2024-01-24,Brisbane,QLD,4000,Baby,1,50.23,0,7.99,Mobile App,Mastercard,58.22
ORD00456,CUST0118,2024-01-24,Geelong,VIC,3220,Sports,4,177.23,0,12.99,In-Store,PayPal,721.91
ORD00985,CUST0175,2024-01-24,Wollongong,NSW,2500,Household,5,53.08,0,9.99,Online,Mastercard,275.39
ORD00182,CUST0035,2024-01-24,Parramatta,NSW,2150,Fashion,2,173.36,10,9.99,Online,Mastercard,322.04
ORD00185,CUST0094,2024-01-24,Wollongong,NSW,2500,Pet Care,1,27.45,0,4.99,Online,Afterpay,32.44
ORD00030,CUST0046,2024-01-24,Fremantle,WA,6160,Household,5,102.72,10,0.0,In-Store,Mastercard,462.24
ORD01320,CUST0177,2024-01-25,Parramatta,NSW,2150,Sports,1,190.99,0,4.99,In-Store,Visa,195.98
ORD00661,CUST0009,2024-01-26,Newcastle,NSW,2300,Baby,1,140.72,15,4.99,Online,Apple Pay,124.6
ORD00086,CUST0024,2024-01-26,Parramatta,NSW,2150,Baby,1,133.78,5,4.99,Mobile App,Visa,132.08
ORD00436,CUST0165,2024-01-26,Adelaide,SA,5000,Groceries,1,40.02,20,12.99,Online,Visa,45.01
ORD00234,CUST0166,2024-01-27,Perth,WA,6000,Groceries,3,27.47,0,7.99,Online,Afterpay,90.4
ORD00190,CUST0201,2024-01-27,Melbourne,VIC,3000,Fashion,1,103.52,5,0.0,Mobile App,Visa,98.34
ORD01234,CUST0037,2024-01-28,Sydney,NSW,2000,Household,5,37.53,0,9.99,Mobile App,Afterpay,197.64
ORD01161,CUST0040,2024-01-28,Mount Gambier,SA,5290,Baby,1,14.08,0,9.99,In-Store,Afterpay,24.07
ORD00897,CUST0081,2024-01-28,Dandenong,VIC,3175,Pet Care,4,118.7,5,12.99,Online,Visa,464.05
ORD00410,CUST0077,2024-01-30,Wollongong,NSW,2500,Groceries,1,33.74,5,0.0,In-Store,PayPal,32.05
ORD01079,CUST0032,2024-01-31,Geelong,VIC,3220,Household,1,48.05,10,4.99,Online,Mastercard,48.24
ORD00633,CUST0061,2024-02-01,Canberra,ACT,2600,Fashion,1,50.12,20,0.0,Mobile App,PayPal,40.1
ORD00006,CUST0055,2024-02-01,Brisbane,QLD,4000,Groceries,3,24.47,0,12.99,Online,Mastercard,86.4
ORD00122,CUST0049,2024-02-01,Brisbane,QLD,4000,Household,1,63.17,5,0.0,Online,PayPal,60.01
ORD01053,CUST0118,2024-02-02,Geelong,VIC,3220,Household,1,58.96,0,0.0,In-Store,Afterpay,58.96
ORD00751,CUST0210,2024-02-02,Gold Coast,QLD,4217,Sports,1,115.22,0,7.99,In-Store,Mastercard,123.21
ORD00783,CUST0091,2024-02-02,Dandenong,VIC,3175,Fashion,1,124.02,5,4.99,Online,Mastercard,122.81
ORD01155,CUST0155,2024-02-03,Melbourne,VIC,3000,Household,3,54.67,0,12.99,Online,Visa,177.0
ORD00996,CUST0127,2024-02-03,Townsville,QLD,4810,Groceries,2,39.43,0,7.99,Mobile App,PayPal,86.85
ORD01351,CUST0075,2024-02-03,Gold Coast,QLD,4217,Baby,1,129.45,10,9.99,Mobile App,Visa,126.5
ORD00729,CUST0047,2024-02-04,Geelong,VIC,3220,Household,2,29.57,0,0.0,Online,Visa,59.14
ORD00320,CUST0121,2024-02-04,Geelong,VIC,3220,Fashion,1,252.3,10,0.0,Online,Visa,227.07
ORD01367,CUST0002,2024-02-04,Gold Coast,QLD,4217,Sports,1,63.5,5,0.0,Online,Afterpay,60.32
ORD00638,CUST0038,2024-02-04,Fremantle,WA,6160,Baby,1,182.6,5,0.0,Mobile App,Apple Pay,173.47
ORD00628,CUST0203,2024-02-04,Ballarat,VIC,3350,Baby,1,33.56,0,4.99,Online,Visa,38.55
ORD00244,CUST0210,2024-02-04,Gold Coast,QLD,4217,Baby,1,109.72,10,7.99,Mobile App,Visa,106.74
ORD00372,CUST0086,2024-02-04,Sydney,NSW,2000,Electronics,2,496.1,0,0.0,Online,PayPal,992.2
ORD00592,CUST0048,2024-02-05,Melbourne,VIC,3000,Beauty,2,99.23,0,7.99,Mobile App,Mastercard,206.45
ORD00735,CUST0016,2024-02-05,Newcastle,NSW,2300,Household,1,20.34,10,0.0,Online,Apple Pay,18.31
ORD00748,CUST0174,2024-02-06,Perth,WA,6000,Sports,2,150.54,5,7.99,Online,Visa,294.02
ORD00620,CUST0144,2024-02-06,Parramatta,NSW,2150,Beauty,1,77.39,10,0.0,Online,Mastercard,69.65
ORD01255,CUST0076,2024-02-06,Gold Coast,QLD,4217,Groceries,1,41.14,0,4.99,Online,PayPal,46.13
ORD00891,CUST0102,2024-02-07,Ballarat,VIC,3350,Baby,2,118.02,10,9.99,Online,Visa,222.43
ORD00484,CUST0176,2024-02-07,Geelong,VIC,3220,Groceries,3,52.92,5,4.99,Online,PayPal,155.81
ORD00259,CUST0022,2024-02-07,Fremantle,WA,6160,Pet Care,2,23.85,0,0.0,Online,Visa,47.7
ORD00076,CUST0076,2024-02-08,Gold Coast,QLD,4217,Pet Care,1,72.39,0,0.0,Online,Apple Pay,72.39
ORD00309,CUST0168,2024-02-09,Newcastle,NSW,2300,Groceries,3,18.95,0,0.0,Online,Visa,56.85
ORD01270,CUST0147,2024-02-09,Ballarat,VIC,3350,Household,2,82.04,0,7.99,Mobile App,Mastercard,172.07
ORD00120,CUST0080,2024-02-09,Canberra,ACT,2600,Electronics,5,750.93,0,9.99,Mobile App,Apple Pay,3764.64
ORD00959,CUST0016,2024-02-09,Newcastle,NSW,2300,Electronics,4,108.37,0,0.0,Online,Mastercard,433.48
ORD00004,CUST0200,2024-02-09,Townsville,QLD,4810,Beauty,5,93.33,5,0.0,Mobile App,Visa,443.32
ORD00322,CUST0138,2024-02-10,Sydney,NSW,2000,Beauty,1,92.46,0,0.0,Online,Visa,92.46
ORD01164,CUST0079,2024-02-10,Cairns,QLD,4870,Electronics,2,290.46,0,0.0,Online,Visa,580.92
ORD00140,CUST0179,2024-02-10,Fremantle,WA,6160,Sports,1,201.08,10,4.99,Online,Visa,185.96
ORD01001,CUST0108,2024-02-11,Dandenong,VIC,3175,Beauty,2,51.53,0,9.99,In-Store,PayPal,113.05
ORD00041,CUST0180,2024-02-11,Dandenong,VIC,3175,Electronics,2,357.37,0,12.99,Mobile App,Apple Pay,727.73
ORD00742,CUST0162,2024-02-11,Brisbane,QLD,4000,Fashion,2,75.28,5,9.99,In-Store,PayPal,153.02
ORD00106,CUST0014,2024-02-11,Mount Gambier,SA,5290,Groceries,1,32.33,10,0.0,Online,Afterpay,29.1
ORD00012,CUST0072,2024-02-11,Perth,WA,6000,Pet Care,3,69.9,15,0.0,Online,PayPal,178.24
ORD00138,CUST0007,2024-02-11,Sydney,NSW,2000,Electronics,1,578.51,0,12.99,Online,Visa,591.5
ORD01258,CUST0113,2024-02-12,Newcastle,NSW,2300,Household,4,57.5,15,9.99,Mobile App,Mastercard,205.49
ORD01293,CUST0202,2024-02-12,Parramatta,NSW,2150,Household,1,51.59,0,0.0,In-Store,Afterpay,51.59
ORD00916,CUST0170,2024-02-12,Bunbury,WA,6230,Electronics,1,259.83,10,4.99,Online,Afterpay,238.84
ORD00010,CUST0160,2024-02-12,Sydney,NSW,2000,Beauty,1,19.02,15,4.99,Mobile App,Visa,21.16
ORD00136,CUST0027,2024-02-12,Dandenong,VIC,3175,Pet Care,3,100.38,5,0.0,Mobile App,Visa,286.08
ORD01222,CUST0073,2024-02-13,Wollongong,NSW,2500,Household,1,13.91,5,0.0,In-Store,Afterpay,13.21
ORD01105,CUST0160,2024-02-13,Sydney,NSW,2000,Groceries,1,24.32,5,0.0,Online,Visa,23.1
ORD01174,CUST0048,2024-02-13,Melbourne,VIC,3000,Electronics,5,220.25,0,7.99,Mobile App,Apple Pay,1109.24
ORD00973,CUST0005,2024-02-13,Melbourne,VIC,3000,Household,1,66.84,0,12.99,In-Store,Afterpay,79.83
ORD00098,CUST0040,2024-02-13,Mount Gambier,SA,5290,Baby,1,62.49,5,0.0,Online,Visa,59.37
ORD00770,CUST0164,2024-02-14,Canberra,ACT,2600,Fashion,4,189.63,15,7.99,Online,Mastercard,652.73
ORD00389,CUST0214,2024-02-14,Geelong,VIC,3220,Beauty,1,91.59,0,4.99,Online,Mastercard,96.58
ORD00678,CUST0181,2024-02-14,Townsville,QLD,4810,Sports,1,46.21,10,0.0,Online,Visa,41.59
ORD00885,CUST0044,2024-02-15,Newcastle,NSW,2300,Groceries,1,51.97,5,7.99,In-Store,Visa,57.36
ORD00894,CUST0044,2024-02-15,Newcastle,NSW,2300,Beauty,1,72.12,15,7.99,Online,Mastercard,69.29
ORD00806,CUST0135,2024-02-15,Fremantle,WA,6160,Fashion,1,97.05,0,12.99,Online,Afterpay,110.04
ORD01346,CUST0190,2024-02-15,Parramatta,NSW,2150,Baby,3,117.55,0,0.0,Online,Apple Pay,352.65
ORD00531,CUST0206,2024-02-15,Bunbury,WA,6230,Groceries,2,37.7,0,12.99,Online,Visa,88.39
ORD00077,CUST0174,2024-02-16,Perth,WA,6000,Pet Care,1,38.16,20,9.99,Mobile App,Visa,40.52
ORD01120,CUST0172,2024-02-16,Sydney,NSW,2000,Groceries,1,29.9,0,12.99,Mobile App,Mastercard,42.89
ORD00910,CUST0052,2024-02-16,Dandenong,VIC,3175,Electronics,1,378.84,15,12.99,Mobile App,PayPal,335.0
ORD00104,CUST0145,2024-02-16,Gold Coast,QLD,4217,Baby,2,121.22,0,4.99,Mobile App,Visa,247.43
ORD00653,CUST0167,2024-02-16,Perth,WA,6000,Fashion,1,84.58,10,4.99,Online,Mastercard,81.11
ORD00650,CUST0014,2024-02-16,Mount Gambier,SA,5290,Baby,1,77.45,15,12.99,Mobile App,Visa,78.82
ORD00543,CUST0138,2024-02-17,Sydney,NSW,2000,Groceries,2,20.14,15,0.0,Online,PayPal,34.24
ORD00520,CUST0122,2024-02-17,Geelong,VIC,3220,Fashion,3,93.8,5,4.99,Online,Visa,272.32
ORD00347,CUST0045,2024-02-18,Cairns,QLD,4870,Groceries,1,18.25,0,7.99,Online,PayPal,26.24
ORD01337,CUST0089,2024-02-18,Ballarat,VIC,3350,Baby,2,28.29,10,4.99,Online,Apple Pay,55.91
ORD00125,CUST0154,2024-02-18,Dandenong,VIC,3175,Groceries,3,15.31,5,9.99,Mobile App,Mastercard,53.62
ORD00609,CUST0177,2024-02-18,Parramatta,NSW,2150,Sports,2,74.13,15,7.99,Online,Mastercard,134.01
ORD01254,CUST0141,2024-02-18,Adelaide,SA,5000,Sports,2,126.23,10,12.99,Online,Visa,240.2
ORD01136,CUST0097,2024-02-19,Brisbane,QLD,4000,Fashion,3,126.69,0,4.99,Online,Mastercard,385.06
ORD00247,CUST0111,2024-02-19,Wollongong,NSW,2500,Sports,5,149.89,15,0.0,Mobile App,Visa,637.03
ORD01008,CUST0174,2024-02-19,Perth,WA,6000,Groceries,2,10.94,0,12.99,Mobile App,Mastercard,34.87
ORD01332,CUST0111,2024-02-20,Wollongong,NSW,2500,Beauty,4,53.57,0,0.0,Online,Mastercard,214.28
ORD00256,CUST0177,2024-02-20,Parramatta,NSW,2150,Pet Care,2,70.54,5,4.99,Online,PayPal,139.02
ORD00095,CUST0084,2024-02-20,Geelong,VIC,3220,Household,1,27.14,5,12.99,Mobile App,Visa,38.77
ORD00975,CUST0136,2024-02-20,Wollongong,NSW,2500,Household,2,80.4,0,0.0,Mobile App,Visa,160.8
ORD00201,CUST0013,2024-02-21,Parramatta,NSW,2150,Baby,1,132.19,5,4.99,Online,Afterpay,130.57
ORD00314,CUST0158,2024-02-21,Geelong,VIC,3220,Baby,1,37.08,15,0.0,Online,Visa,31.52
ORD01213,CUST0018,2024-02-21,Brisbane,QLD,4000,Groceries,1,40.24,0,12.99,Mobile App,Visa,53.23
ORD00601,CUST0188,2024-02-21,Geelong,VIC,3220,Groceries,2,40.07,0,4.99,Mobile App,Mastercard,85.13
ORD00495,CUST0125,2024-02-21,Townsville,QLD,4810,Fashion,2,221.58,0,7.99,Online,Visa,451.15
ORD00329,CUST0220,2024-02-22,Wollongong,NSW,2500,Beauty,1,21.35,0,0.0,In-Store,Afterpay,21.35
ORD01310,CUST0060,2024-02-22,Mount Gambier,SA,5290,Beauty,1,101.4,0,7.99,Mobile App,Afterpay,109.39
ORD00939,CUST0220,2024-02-23,Wollongong,NSW,2500,Fashion,1,70.2,10,0.0,Online,Visa,63.18
ORD00441,CUST0034,2024-02-23,Wollongong,NSW,2500,Baby,1,47.58,0,7.99,Online,Mastercard,55.57
ORD00957,CUST0209,2024-02-23,Parramatta,NSW,2150,Pet Care,2,100.56,10,7.99,Online,Mastercard,189.0
ORD00938,CUST0205,2024-02-24,Cairns,QLD,4870,Electronics,5,133.86,15,0.0,Mobile App,Afterpay,568.9
ORD01118,CUST0139,2024-02-24,Townsville,QLD,4810,Household,4,39.59,0,4.99,Online,Afterpay,163.35
ORD01173,CUST0015,2024-02-24,Wollongong,NSW,2500,Household,3,23.69,5,9.99,Online,Apple Pay,77.51
ORD00260,CUST0183,2024-02-24,Fremantle,WA,6160,Pet Care,1,90.25,0,9.99,Online,Apple Pay,100.24
ORD00465,CUST0074,2024-02-24,Bunbury,WA,6230,Sports,1,77.76,0,0.0,Online,Visa,77.76
ORD00274,CUST0180,2024-02-25,Dandenong,VIC,3175,Fashion,2,106.38,5,4.99,Mobile App,Afterpay,207.11
ORD01334,CUST0111,2024-02-26,Wollongong,NSW,2500,Groceries,3,9.98,0,0.0,Online,Visa,29.94
ORD01231,CUST0053,2024-02-26,Dandenong,VIC,3175,Fashion,1,138.4,0,7.99,Online,Mastercard,146.39
ORD00963,CUST0144,2024-02-26,Parramatta,NSW,2150,Household,2,17.67,20,12.99,Online,Mastercard,41.26
ORD00732,CUST0155,2024-02-26,Melbourne,VIC,3000,Groceries,3,9.21,10,7.99,Mobile App,Visa,32.86
ORD00704,CUST0141,2024-02-26,Adelaide,SA,5000,Fashion,1,51.82,0,9.99,In-Store,PayPal,61.81
ORD00880,CUST0001,2024-02-26,Brisbane,QLD,4000,Electronics,2,435.0,5,4.99,Online,Mastercard,831.49
ORD00142,CUST0013,2024-02-26,Parramatta,NSW,2150,Groceries,1,47.81,5,4.99,In-Store,Mastercard,50.41
ORD00995,CUST0181,2024-02-26,Townsville,QLD,4810,Beauty,1,101.36,0,12.99,In-Store,Mastercard,114.35
ORD01221,CUST0184,2024-02-26,Newcastle,NSW,2300,Sports,1,273.85,0,0.0,Online,Apple Pay,273.85
ORD01214,CUST0193,2024-02-26,Brisbane,QLD,4000,Sports,2,234.01,5,4.99,In-Store,PayPal,449.61
ORD00443,CUST0215,2024-02-27,Cairns,QLD,4870,Pet Care,5,39.7,15,12.99,In-Store,Mastercard,181.71
ORD01226,CUST0100,2024-02-27,Parramatta,NSW,2150,Electronics,1,639.8,10,4.99,Mobile App,Apple Pay,580.81
ORD00679,CUST0116,2024-02-27,Brisbane,QLD,4000,Sports,2,39.64,0,7.99,Online,Visa,87.27
ORD00866,CUST0024,2024-02-27,Parramatta,NSW,2150,Household,2,19.48,15,7.99,Mobile App,Mastercard,41.11
ORD01344,CUST0004,2024-02-27,Brisbane,QLD,4000,Sports,2,50.95,0,12.99,Online,Mastercard,114.89
ORD00478,CUST0193,2024-02-28,Brisbane,QLD,4000,Beauty,1,103.97,5,4.99,Mobile App,Mastercard,103.76
ORD00439,CUST0069,2024-02-28,Newcastle,NSW,2300,Sports,2,214.9,0,7.99,Online,Apple Pay,437.79
ORD01263,CUST0017,2024-02-28,Melbourne,VIC,3000,Household,3,87.38,20,12.99,Online,Visa,222.7
ORD01020,CUST0002,2024-02-28,Gold Coast,QLD,4217,Household,1,80.47,0,0.0,Online,Mastercard,80.47
ORD00541,CUST0175,2024-02-29,Wollongong,NSW,2500,Electronics,1,758.5,5,0.0,Online,Mastercard,720.58
ORD00898,CUST0047,2024-02-29,Geelong,VIC,3220,Groceries,2,35.73,0,12.99,In-Store,Apple Pay,84.45
ORD00677,CUST0216,2024-02-29,Geelong,VIC,3220,Groceries,2,44.22,5,0.0,In-Store,PayPal,84.02
ORD01288,CUST0112,2024-03-01,Wollongong,NSW,2500,Groceries,2,21.53,10,0.0,Mobile App,PayPal,38.75
ORD00449,CUST0206,2024-03-01,Bunbury,WA,6230,Beauty,1,94.38,0,9.99,In-Store,PayPal,104.37
ORD01179,CUST0042,2024-03-01,Dandenong,VIC,3175,Baby,1,78.36,15,9.99,Online,Mastercard,76.6
ORD01036,CUST0165,2024-03-01,Adelaide,SA,5000,Groceries,1,39.61,0,0.0,Online,Visa,39.61
ORD00455,CUST0191,2024-03-02,Melbourne,VIC,3000,Pet Care,5,20.51,0,7.99,In-Store,Mastercard,110.54
ORD00972,CUST0146,2024-03-02,Townsville,QLD,4810,Beauty,4,36.75,10,4.99,Mobile App,Mastercard,137.29
ORD00810,CUST0107,2024-03-02,Wollongong,NSW,2500,Groceries,2,26.97,15,4.99,Mobile App,Mastercard,50.84
ORD01186,CUST0049,2024-03-02,Brisbane,QLD,4000,Fashion,1,133.87,5,7.99,Online,Visa,135.17
ORD00795,CUST0089,2024-03-03,Ballarat,VIC,3350,Groceries,1,34.48,0,9.99,In-Store,Mastercard,44.47
ORD00085,CUST0166,2024-03-03,Perth,WA,6000,Household,2,78.43,0,0.0,In-Store,PayPal,156.86
ORD01299,CUST0158,2024-03-03,Geelong,VIC,3220,Beauty,1,113.82,0,9.99,Online,Visa,123.81
ORD00824,CUST0017,2024-03-04,Melbourne,VIC,3000,Household,1,82.96,0,0.0,In-Store,Visa,82.96
ORD00305,CUST0013,2024-03-04,Parramatta,NSW,2150,Groceries,4,11.86,5,4.99,In-Store,Visa,50.06
ORD00151,CUST0092,2024-03-04,Wollongong,NSW,2500,Sports,1,113.52,0,9.99,Mobile App,Mastercard,123.51
ORD01146,CUST0023,2024-03-04,Melbourne,VIC,3000,Beauty,3,60.54,15,0.0,Online,Mastercard,154.38
ORD00809,CUST0007,2024-03-04,Sydney,NSW,2000,Pet Care,1,49.66,0,12.99,Mobile App,Apple Pay,62.65
ORD00090,CUST0061,2024-03-05,Canberra,ACT,2600,Beauty,3,99.71,0,0.0,Mobile App,Mastercard,299.13
ORD00821,CUST0057,2024-03-05,Townsville,QLD,4810,Groceries,1,14.22,10,9.99,Online,Apple Pay,22.79
